Modelo,Melhor_Hiperparametro,Precisao_Ham,Recall_Ham,F1_Ham,Precisao_Spam,Recall_Spam,F1_Spam,F1_Macro,Acuracia,Real_Ham_Prev_Ham,Real_Ham_Prev_Spam,Real_Spam_Prev_Ham,Real_Spam_Prev_Spam
SVM_BoW_Padrao,{'C': 1.0},0.3220338983050847,0.25333333333333335,0.2835820895522388,0.8567774936061381,0.8933333333333333,0.8746736292428199,0.5791278593975293,0.7866666666666666,19,56,40,335
SVM_BoW_Balanceado,{'model__C': 0.1},0.3504273504273504,0.5466666666666666,0.4270833333333333,0.8978978978978979,0.7973333333333333,0.844632768361582,0.6358580508474576,0.7555555555555555,41,34,76,299
SVM_TFIDF_Padrao,{'C': 10.0},0.68,0.22666666666666666,0.34,0.8635294117647059,0.9786666666666667,0.9175,0.62875,0.8533333333333334,17,58,8,367
SVM_TFIDF_Balanceado,{'model__C': 10.0},0.68,0.22666666666666666,0.34,0.8635294117647059,0.9786666666666667,0.9175,0.62875,0.8533333333333334,17,58,8,367
ArvoreDecisao_BoW_Padrao,"{'max_depth': None, 'min_samples_leaf': 5}",0.2916666666666667,0.18666666666666668,0.22764227642276422,0.8482587064676617,0.9093333333333333,0.8777348777348777,0.5526885770788209,0.7888888888888889,14,61,34,341
ArvoreDecisao_BoW_Balanceado,"{'model__max_depth': None, 'model__min_samples_leaf': 5}",0.3783783783783784,0.37333333333333335,0.37583892617449666,0.875,0.8773333333333333,0.8761651131824234,0.62600201967846,0.7933333333333333,28,47,46,329
ArvoreDecisao_TFIDF_Padrao,"{'max_depth': 20, 'min_samples_leaf': 3}",0.3488372093023256,0.2,0.2542372881355932,0.8525798525798526,0.9253333333333333,0.887468030690537,0.5708526594130652,0.8044444444444444,15,60,28,347
ArvoreDecisao_TFIDF_Balanceado,"{'model__max_depth': None, 'model__min_samples_leaf': 5}",0.42105263157894735,0.4266666666666667,0.423841059602649,0.8850267379679144,0.8826666666666667,0.8838451268357811,0.6538430932192151,0.8066666666666666,32,43,44,331
RandomForest_BoW_Padrao,"{'max_depth': None, 'n_estimators': 100}",0.6,0.08,0.1411764705882353,0.8431818181818181,0.9893333333333333,0.9104294478527607,0.525802959220498,0.8377777777777777,6,69,4,371
RandomForest_BoW_Balanceado,"{'model__max_depth': None, 'model__n_estimators': 100}",0.46808510638297873,0.29333333333333333,0.36065573770491804,0.8684863523573201,0.9333333333333333,0.8997429305912596,0.6301993341480888,0.8266666666666667,22,53,25,350
RandomForest_TFIDF_Padrao,"{'max_depth': None, 'n_estimators': 100}",1.0,0.08,0.14814814814814814,0.8445945945945946,1.0,0.9157509157509157,0.531949531949532,0.8466666666666667,6,69,0,375
RandomForest_TFIDF_Balanceado,"{'model__max_depth': 20, 'model__n_estimators': 100}",0.3163841807909605,0.7466666666666667,0.4444444444444444,0.9304029304029304,0.6773333333333333,0.7839506172839507,0.6141975308641976,0.6888888888888889,56,19,121,254
